radius,count,Unknown Coverage,Accuracy,Precision,Recall,F1,FPR,,radius,count,Accuracy,Precision,Recall,FPR,Unknown Coverage,F1
0.04,300,0,0.5,0,0,0,0,,,,,,,,,
0.04,310,0,0.5,0,0,0,0,,,,,,,,,
0.04,320,0,0.5,0,0,0,0,,,,,,,,,
0.04,330,0,0.5,0,0,0,0,,,,,,,,,
0.04,340,0,0.5,0,0,0,0,,,,,,,,,
0.04,350,0,0.5,0,0,0,0,,,,,,,,,
0.04,360,0,0.5,0,0,0,0,,,,,,,,,
0.04,370,0,0.5,0,0,0,0,,,,,,,,,
0.04,380,0,0.5,0,0,0,0,,,,,,,,,
0.04,390,0,0.5,0,0,0,0,,,,,,,,,
0.04,400,0,0.5,0,0,0,0,,,,,,,,,
0.04,410,0,0.5,0,0,0,0,,,,,,,,,
0.04,420,0,0.5,0,0,0,0,,,,,,,,,
0.04,430,0,0.5,0,0,0,0,,,,,,,,,
0.04,450,0,0.5,0,0,0,0,,,,,,,,,
0.04,460,0,0.5,0,0,0,0,,,,,,,,,
0.04,470,0,0.5,0,0,0,0,,,,,,,,,
0.04,480,0,0.5,0,0,0,0,,,,,,,,,
0.04,490,0,0.5,0,0,0,0,,,,,,,,,
0.04,500,0,0.5,0,0,0,0,,,,,,,,,
0.05,10,0,0.5,0,0,0,0,,,,,,,,,
0.05,20,0,0.5,0,0,0,0,,,,,,,,,
0.05,30,0,0.5,0,0,0,0,,,,,,,,,
0.05,50,0,0.5,0,0,0,0,,,,,,,,,
0.05,80,0,0.5,0,0,0,0,,,,,,,,,
0.05,100,0,0.5,0,0,0,0,,,,,,,,,
0.05,110,0,0.5,0,0,0,0,,,,,,,,,
0.05,120,0,0.5,0,0,0,0,,,,,,,,,
0.05,130,0,0.5,0,0,0,0,,,,,,,,,
0.05,150,0,0.5,0,0,0,0,,,,,,,,,
0.05,160,0,0.5,0,0,0,0,,,,,,,,,
0.05,170,0,0.5,0,0,0,0,,,,,,,,,
0.05,180,0,0.5,0,0,0,0,,,,,,,,,
0.05,190,0,0.5,0,0,0,0,,,,,,,,,
0.05,200,0,0.5,0,0,0,0,,,,,,,,,
0.05,210,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.05,230,0,0.5,0,0,0,0,,,,,,,,,
0.05,240,0,0.5,0,0,0,0,,,,,,,,,
0.05,250,0,0.5,0,0,0,0,,,,,,,,,
0.05,260,0,0.5,0,0,0,0,,,,,,,,,
0.05,270,0,0.5,0,0,0,0,,,,,,,,,
0.05,290,0,0.5,0,0,0,0,,,,,,,,,
0.05,300,0,0.5,0,0,0,0,,,,,,,,,
0.05,310,0,0.5,0,0,0,0,,,,,,,,,
0.05,330,0,0.5,0,0,0,0,,,,,,,,,
0.05,340,0,0.5,0,0,0,0,,,,,,,,,
0.05,350,0,0.5,0,0,0,0,,,,,,,,,
0.05,360,0,0.5,0,0,0,0,,,,,,,,,
0.05,370,0,0.5,0,0,0,0,,,,,,,,,
0.05,380,0,0.5,0,0,0,0,,,,,,,,,
0.05,390,0,0.5,0,0,0,0,,,,,,,,,
0.05,410,0,0.4997,0,0,0,0.0006,,,,,,,,,
0.05,420,0,0.5,0,0,0,0,,,,,,,,,
0.05,430,0,0.5,0,0,0,0,,,,,,,,,
0.05,440,0,0.5,0,0,0,0,,,,,,,,,
0.05,450,0,0.5,0,0,0,0,,,,,,,,,
0.05,460,0,0.5,0,0,0,0,,,,,,,,,
0.05,470,0,0.5,0,0,0,0,,,,,,,,,
0.05,480,0,0.5,0,0,0,0,,,,,,,,,
0.05,490,0,0.5,0,0,0,0,,,,,,,,,
0.05,500,0,0.5,0,0,0,0,,,,,,,,,
0.06,10,0,0.5,0,0,0,0,,,,,,,,,
0.06,20,0,0.5,0,0,0,0,,,,,,,,,
0.06,30,0,0.5,0,0,0,0,,,,,,,,,
0.06,50,0,0.5,0,0,0,0,,,,,,,,,
0.06,60,0,0.5,0,0,0,0,,,,,,,,,
0.06,70,0,0.5,0,0,0,0,,,,,,,,,
0.06,80,0,0.5,0,0,0,0,,,,,,,,,
0.06,90,0,0.5,0,0,0,0,,,,,,,,,
0.06,110,0,0.5,0,0,0,0,,,,,,,,,
0.06,120,0,0.5,0,0,0,0,,,,,,,,,
0.06,130,0,0.5,0,0,0,0,,,,,,,,,
0.06,140,0,0.4996,0,0,0,0.0008,,,,,,,,,
0.06,160,0,0.5,0,0,0,0,,,,,,,,,
0.06,170,0,0.5,0,0,0,0,,,,,,,,,
0.06,180,0,0.5,0,0,0,0,,,,,,,,,
0.06,190,0,0.5,0,0,0,0,,,,,,,,,
0.06,200,0,0.5,0,0,0,0,,,,,,,,,
0.06,210,0,0.5,0,0,0,0,,,,,,,,,
0.06,230,0,0.4995,0,0,0,0.001,,,,,,,,,
0.06,240,0,0.5,0,0,0,0,,,,,,,,,
0.06,250,0,0.5,0,0,0,0,,,,,,,,,
0.06,260,0,0.5,0,0,0,0,,,,,,,,,
0.06,270,0,0.5,0,0,0,0,,,,,,,,,
0.06,280,0,0.5,0,0,0,0,,,,,,,,,
0.06,290,0,0.5,0,0,0,0,,,,,,,,,
0.06,300,0,0.5,0,0,0,0,,,,,,,,,
0.06,310,0,0.5,0,0,0,0,,,,,,,,,
0.06,320,0,0.5,0,0,0,0,,,,,,,,,
0.06,330,0,0.5,0,0,0,0,,,,,,,,,
0.06,340,0,0.5,0,0,0,0,,,,,,,,,
0.06,370,0,0.5,0,0,0,0,,,,,,,,,
0.06,390,0,0.5,0,0,0,0,,,,,,,,,
0.06,400,0,0.5,0,0,0,0,,,,,,,,,
0.06,420,0,0.5,0,0,0,0,,,,,,,,,
0.06,440,0,0.5,0,0,0,0,,,,,,,,,
0.06,450,0,0.5,0,0,0,0,,,,,,,,,
0.06,460,0,0.5,0,0,0,0,,,,,,,,,
0.06,470,0,0.4993,0,0,0,0.0014,,,,,,,,,
0.06,490,0,0.5,0,0,0,0,,,,,,,,,
0.06,500,0,0.5,0,0,0,0,,,,,,,,,
0.07,10,0,0.5,0,0,0,0,,,,,,,,,
0.07,20,0,0.5,0,0,0,0,,,,,,,,,
0.07,30,0,0.5,0,0,0,0,,,,,,,,,
0.07,40,0,0.5,0,0,0,0,,,,,,,,,
0.07,50,0,0.5,0,0,0,0,,,,,,,,,
0.07,80,0,0.5,0,0,0,0,,,,,,,,,
0.07,90,0,0.5,0,0,0,0,,,,,,,,,
0.07,110,0,0.5,0,0,0,0,,,,,,,,,
0.07,120,0,0.5,0,0,0,0,,,,,,,,,
0.07,130,0,0.5,0,0,0,0,,,,,,,,,
0.07,140,0,0.5,0,0,0,0,,,,,,,,,
0.07,150,0.0001,0.4997,0,0,0,0.0006,,,,,,,,,
0.07,160,0,0.5,0,0,0,0,,,,,,,,,
0.07,170,0,0.5,0,0,0,0,,,,,,,,,
0.07,180,0,0.5,0,0,0,0,,,,,,,,,
0.07,190,0,0.5,0,0,0,0,,,,,,,,,
0.07,200,0,0.5,0,0,0,0,,,,,,,,,
0.07,210,0,0.5,0,0,0,0,,,,,,,,,
0.07,220,0,0.5,0,0,0,0,,,,,,,,,
0.07,230,0,0.5,0,0,0,0,,,,,,,,,
0.07,240,0,0.5,0,0,0,0,,,,,,,,,
0.07,250,0,0.5,0,0,0,0,,,,,,,,,
0.07,260,0,0.5,0,0,0,0,,,,,,,,,
0.07,280,0,0.5,0,0,0,0,,,,,,,,,
0.07,290,0,0.5,0,0,0,0,,,,,,,,,
0.07,300,0,0.5,0,0,0,0,,,,,,,,,
0.07,310,0,0.5,0,0,0,0,,,,,,,,,
0.07,320,0,0.5,0,0,0,0,,,,,,,,,
0.07,330,0,0.5,0,0,0,0,,,,,,,,,
0.07,340,0,0.5,0,0,0,0,,,,,,,,,
0.07,350,0,0.5,0,0,0,0,,,,,,,,,
0.07,360,0,0.5,0,0,0,0,,,,,,,,,
0.07,370,0,0.5,0,0,0,0,,,,,,,,,
0.07,380,0,0.5,0,0,0,0,,,,,,,,,
0.07,390,0,0.5,0,0,0,0,,,,,,,,,
0.07,400,0,0.5,0,0,0,0,,,,,,,,,
0.07,410,0,0.5,0,0,0,0,,,,,,,,,
0.07,420,0,0.5,0,0,0,0,,,,,,,,,
0.07,430,0,0.5,0,0,0,0,,,,,,,,,
0.07,440,0,0.5,0,0,0,0,,,,,,,,,
0.07,450,0,0.5,0,0,0,0,,,,,,,,,
0.07,470,0,0.5,0,0,0,0,,,,,,,,,
0.07,480,0,0.5,0,0,0,0,,,,,,,,,
0.07,500,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.08,20,0,0.5,0,0,0,0,,,,,,,,,
0.08,30,0,0.5,0,0,0,0,,,,,,,,,
0.08,40,0,0.4999,0,0,0,0.0002,,,,,,,,,
0.08,50,0,0.4994,0,0,0,0.0012,,,,,,,,,
