self_radius,self_count,uc,accuracy,precision,recall,f1,far,,,,,,,,,,
0.21,4,0.75348496,0.6285,0.617351598,0.676,0.645346062,0.419,,,,,,,,,,
0.05,9,0.938860357,0.5164,0.509503941,0.8792,0.645142354,0.8464,,,,,,,,,,
0.01,49,0.879921741,0.5187,0.51091907,0.875,0.645137506,0.8376,,,,,,,,,,
0.21,5,0.75519687,0.6295,0.619047619,0.6734,0.645080946,0.4144,,,,,,,,,,
0.15,6,0.752751284,0.62,0.605189341,0.6904,0.644992526,0.4504,,,,,,,,,,
0.1,3,0.954267547,0.4911,0.495231973,0.9244,0.644945231,0.9422,,,,,,,,,,
0.23,2,0.828809,0.5883,0.566964963,0.7476,0.644871905,0.571,,,,,,,,,,
0.01,27,0.937148447,0.5119,0.506805444,0.8862,0.644837372,0.8624,,,,,,,,,,
0.23,1,0.929567131,0.5343,0.52114934,0.8452,0.644747883,0.7766,,,,,,,,,,
0.02,57,0.807043287,0.583,0.561609264,0.7566,0.644683027,0.5906,,,,,,,,,,
0.04,5,0.949620934,0.4973,0.498524106,0.912,0.644659645,0.9174,,,,,,,,,,
0.04,6,0.940816826,0.5007,0.500387125,0.9048,0.644398547,0.9034,,,,,,,,,,
0.04,9,0.930300807,0.532,0.519627085,0.8472,0.644160584,0.7832,,,,,,,,,,
0.02,25,0.943262411,0.5034,0.501898593,0.8988,0.644116382,0.892,,,,,,,,,,
0.25,15,0.531425776,0.6813,0.72920354,0.5768,0.644109436,0.2142,,,,,,,,,,
0.13,3,0.938126681,0.512,0.506890216,0.8828,0.644003502,0.8588,,,,,,,,,,
0.07,4,0.951332844,0.4865,0.492836676,0.9288,0.643971435,0.9558,,,,,,,,,,
0.03,23,0.862558083,0.5632,0.543478261,0.79,0.643951744,0.6636,,,,,,,,,,
0.04,78,0.645634629,0.6374,0.632523148,0.6558,0.643951296,0.381,,,,,,,,,,
0.18,15,0.736854977,0.6375,0.632696391,0.6556,0.643944603,0.3806,,,,,,,,,,
0.01,29,0.924920518,0.5201,0.511855609,0.8678,0.64391185,0.8276,,,,,,,,,,
0.12,27,0.718513084,0.6402,0.63734326,0.6506,0.643903405,0.3702,,,,,,,,,,
0.18,12,0.66960137,0.653,0.661460532,0.6268,0.643663997,0.3208,,,,,,,,,,
0.02,17,0.919051113,0.5089,0.50506776,0.887,0.643639794,0.8692,,,,,,,,,,
0.04,7,0.9315236,0.5251,0.515078698,0.8574,0.64354875,0.8072,,,,,,,,,,
0.05,8,0.931034483,0.5069,0.503907577,0.8898,0.643430472,0.876,,,,,,,,,,
0.03,5,0.938860357,0.5046,0.502587759,0.8934,0.643289171,0.8842,,,,,,,,,,
0.01,17,0.936903888,0.506,0.503390597,0.8908,0.643269786,0.8788,,,,,,,,,,
0.26,10,0.537050624,0.7173,0.87170715,0.5096,0.643190711,0.075,,,,,,,,,,
