self_radius,self_count,uc,accuracy,precision,recall,f1,far
0.06,4,0.948542024,0.4909,0.495064541,0.9128,0.641957944,0.931
0.24,1,0.931389365,0.5323,0.520034735,0.8384,0.641911033,0.7738
0.02,18,0.931389365,0.5351,0.52200627,0.8326,0.641695568,0.7624
0.18,2,0.929674099,0.5331,0.520612779,0.836,0.64164556,0.7698
0.16,12,0.886792453,0.6395,0.637927625,0.6452,0.641543204,0.3662
0.09,20,0.914236707,0.6091,0.59237934,0.6996,0.641540578,0.4814
0.25,2,0.914236707,0.594,0.574320051,0.7264,0.641469445,0.5384
0.11,3,0.963979417,0.4862,0.492594977,0.918,0.641150999,0.9456
0.2,5,0.914236707,0.6238,0.613038714,0.6714,0.640893471,0.4238
0.1,25,0.905660377,0.6132,0.598127601,0.69,0.640787519,0.4636
0.01,29,0.936535163,0.5211,0.512663546,0.8542,0.640762133,0.812
0.01,26,0.945111492,0.5071,0.504075307,0.8782,0.640507622,0.864
0.02,19,0.938250429,0.5098,0.505675237,0.8732,0.640457679,0.8536
0.18,15,0.909090909,0.6249,0.614988032,0.668,0.640398811,0.4182
0.13,7,0.917667238,0.5886,0.56878882,0.7326,0.640384615,0.5554
0.4,1,0.902229846,0.6142,0.599755416,0.6866,0.640246177,0.4582
0.01,23,0.951972556,0.5071,0.504082806,0.8766,0.640087623,0.8624
0.04,10,0.936535163,0.5161,0.509539045,0.86,0.639928566,0.8278
0.06,10,0.957118353,0.4896,0.494331807,0.907,0.63990405,0.9278
0.04,8,0.943396226,0.5118,0.506895746,0.8674,0.639864267,0.8438
0.01,18,0.943396226,0.5026,0.501475596,0.8836,0.639826213,0.8784
0.15,13,0.914236707,0.6167,0.603439107,0.6808,0.639789493,0.4474
0.04,17,0.926243568,0.5393,0.525247334,0.8176,0.639599468,0.739
0.04,57,0.890222985,0.6007,0.582826123,0.7086,0.639588411,0.5072
0.13,2,0.936535163,0.5102,0.505937136,0.8692,0.639587932,0.8488
0.04,12,0.936535163,0.5218,0.513189739,0.8482,0.639475271,0.8046
0.01,28,0.934819897,0.5104,0.506067678,0.8674,0.639204127,0.8466
0.03,30,0.907375643,0.5735,0.553877731,0.7556,0.639201421,0.6086
0.12,11,0.917667238,0.5845,0.564850345,0.736,0.639166305,0.567
0.16,2,0.943396226,0.5028,0.501594896,0.8806,0.639134853,0.875
0.17,13,0.874785592,0.6442,0.648414986,0.63,0.639074863,0.3416
0.15,12,0.914236707,0.619,0.607129996,0.6744,0.638999431,0.4364
0.18,6,0.914236707,0.617,0.604389722,0.6774,0.638815541,0.4434
0.17,5,0.897084048,0.6265,0.618467878,0.6604,0.638746494,0.4074
0.02,26,0.931389365,0.5292,0.518218118,0.8306,0.638235746,0.7722
0.01,34,0.92109777,0.5148,0.508811622,0.8546,0.637856396,0.825
0.14,17,0.893653516,0.6464,0.653716926,0.6226,0.637779144,0.3298
0.07,7,0.926243568,0.5392,0.52539518,0.811,0.63767888,0.7326
0.06,6,0.95025729,0.5011,0.500627209,0.878,0.637664318,0.8758
0.2,7,0.914236707,0.6161,0.603753351,0.6756,0.637659273,0.4434
0.23,5,0.777015437,0.6812,0.738798102,0.5606,0.6374801,0.1982
0.01,85,0.886792453,0.5937,0.575503626,0.7142,0.637394021,0.5268
0.01,80,0.912521441,0.5623,0.544065639,0.7692,0.637335322,0.6446
0.04,7,0.927958834,0.5303,0.519073398,0.8246,0.637101136,0.764
0.07,4,0.948542024,0.4931,0.496151701,0.8896,0.637021124,0.9034
0.17,6,0.914236707,0.6122,0.598732841,0.6804,0.636959371,0.456
0.2,2,0.924528302,0.5465,0.531045533,0.7954,0.636880455,0.7024
0.17,9,0.912521441,0.6142,0.601565279,0.6764,0.636791565,0.448
0.01,19,0.943396226,0.4967,0.498135804,0.8818,0.636632734,0.8884
0.02,15,0.934819897,0.5147,0.508797127,0.8502,0.6366155,0.8208
0.02,23,0.951972556,0.4882,0.493503634,0.8964,0.636557307,0.92
0.05,6,0.927958834,0.5279,0.51746151,0.8268,0.63653861,0.771
0.02,24,0.927958834,0.5177,0.510705213,0.8444,0.63646642,0.809
0.14,15,0.910806175,0.6121,0.599080785,0.6778,0.636013888,0.4536
0.03,15,0.933104631,0.5163,0.50983943,0.8446,0.635850335,0.812
0.03,17,0.955403087,0.4836,0.491067538,0.9016,0.635825106,0.9344
0.04,21,0.907375643,0.56,0.542396834,0.7676,0.635640941,0.6476
0.03,13,0.957118353,0.482,0.490232255,0.9034,0.635570564,0.9394
0.25,1,0.929674099,0.5307,0.519501969,0.8178,0.635381866,0.7564
0.14,11,0.914236707,0.5961,0.579068619,0.7038,0.635370588,0.5116
0.03,26,0.927958834,0.5296,0.518738921,0.8194,0.635292293,0.7602
0.08,9,0.927958834,0.5375,0.524417242,0.8054,0.635223598,0.7304
0.02,21,0.922813036,0.5103,0.506117116,0.8522,0.635069677,0.8316
0.02,22,0.943396226,0.4893,0.494046957,0.888,0.634875241,0.9094
0.09,4,0.953687822,0.4921,0.49556429,0.8826,0.634735707,0.8984
0.05,14,0.926243568,0.5274,0.517267457,0.8208,0.634606464,0.766
0.11,10,0.919382504,0.5496,0.533852034,0.7822,0.634593542,0.683
0.21,15,0.898799314,0.6386,0.641833811,0.6272,0.634432531,0.35
0.17,11,0.902229846,0.6122,0.600071352,0.6728,0.634357911,0.4484
0.01,82,0.890222985,0.5633,0.545585482,0.7576,0.634346479,0.631
0.06,12,0.926243568,0.5265,0.516668763,0.8214,0.634334698,0.7684
