self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,,,
0.02,21,0.5282,0.4786,0.482775274,0.5998,0.53496254,0.6426,,,,,,,,,,,
0.07,35,0.4009,0.5113,0.510263397,0.5618,0.534792956,0.5392,,,,,,,,,,,
0.13,4,0.962,0.3893,0.431843369,0.7014,0.534562914,0.9228,,,,,,,,,,,
0.03,19,0.5559,0.4695,0.47613085,0.6084,0.534199666,0.6694,,,,,,,,,,,
0.05,21,0.4848,0.4882,0.490140374,0.5866,0.534049527,0.6102,,,,,,,,,,,
0.04,32,0.4586,0.4943,0.495117355,0.578,0.53335794,0.5894,,,,,,,,,,,
0.33,2,0.9258,0.3942,0.433692655,0.692,0.533210048,0.9036,,,,,,,,,,,
0.33,4,0.759,0.4273,0.449841314,0.652,0.532375276,0.7974,,,,,,,,,,,
0.04,37,0.5803,0.4633,0.471484071,0.6068,0.530651509,0.6802,,,,,,,,,,,
0.25,1,0.935,0.3865,0.429669104,0.6934,0.530568521,0.9204,,,,,,,,,,,
0.17,4,0.9027,0.411,0.440714095,0.6616,0.529026067,0.8396,,,,,,,,,,,
0.04,21,0.8015,0.4075,0.438701127,0.662,0.527700279,0.847,,,,,,,,,,,
0.04,33,0.374,0.5309,0.531357824,0.5236,0.527450388,0.4618,,,,,,,,,,,
0.18,4,0.577,0.4602,0.468779416,0.5976,0.525408827,0.6772,,,,,,,,,,,
0.1,17,0.5995,0.4482,0.460828796,0.6094,0.524801929,0.713,,,,,,,,,,,
0.08,12,0.3375,0.5042,0.503870254,0.5468,0.524458086,0.5384,,,,,,,,,,,
0.06,22,0.7721,0.4038,0.436105207,0.6566,0.524106003,0.849,,,,,,,,,,,
0.03,33,0.4657,0.4964,0.49676259,0.5524,0.523106061,0.5596,,,,,,,,,,,
0.14,5,0.7727,0.401,0.434506483,0.6568,0.523013219,0.8548,,,,,,,,,,,
0.02,25,0.4903,0.4865,0.488271069,0.562,0.522547652,0.589,,,,,,,,,,,
0.2,3,0.7923,0.3986,0.432579787,0.6506,0.519648562,0.8534,,,,,,,,,,,
0.19,4,0.4897,0.461,0.46845681,0.5792,0.517975317,0.6572,,,,,,,,,,,
0.11,14,0.6284,0.4262,0.446084161,0.6106,0.515535292,0.7582,,,,,,,,,,,
0.07,19,0.7739,0.3921,0.428514642,0.6468,0.515501714,0.8626,,,,,,,,,,,
0.01,7,0.8262,0.3933,0.428743155,0.642,0.5141347,0.8554,,,,,,,,,,,
0.13,27,0.3128,0.5158,0.515914585,0.5122,0.514050582,0.4806,,,,,,,,,,,
0.03,36,0.4084,0.4825,0.484422289,0.5442,0.512574173,0.5792,,,,,,,,,,,
0.02,68,0.6165,0.4689,0.472857392,0.5418,0.504986485,0.604,,,,,,,,,,,
0.02,61,0.3431,0.5109,0.511258005,0.495,0.502997663,0.4732,,,,,,,,,,,
0.45,2,0.448,0.4979,0.49792038,0.5028,0.500348293,0.507,,,,,,,,,,,
0.03,39,0.3218,0.5019,0.501928151,0.4946,0.498237131,0.4908,,,,,,,,,,,
0.06,35,0.2867,0.5151,0.516198241,0.4812,0.498085084,0.451,,,,,,,,,,,
0.05,37,0.4068,0.4781,0.47968837,0.5172,0.497738427,0.561,,,,,,,,,,,
0.01,99,0.3565,0.4953,0.495332671,0.4988,0.497060289,0.5082,,,,,,,,,,,
0.02,42,0.8065,0.4045,0.430118542,0.5878,0.496746387,0.7788,,,,,,,,,,,
0.05,26,0.3425,0.4966,0.4966,0.4966,0.4966,0.5034,,,,,,,,,,,
0.02,37,0.4558,0.466,0.469380403,0.5212,0.493934799,0.5892,,,,,,,,,,,
0.1,47,0.588,0.4351,0.447312875,0.551,0.493771843,0.6808,,,,,,,,,,,
0.16,7,0.3824,0.4842,0.484707704,0.5008,0.492622467,0.5324,,,,,,,,,,,
0.15,24,0.2818,0.5239,0.527477581,0.4588,0.490747674,0.411,,,,,,,,,,,
0.01,44,0.5231,0.4513,0.457511778,0.5244,0.488677663,0.6218,,,,,,,,,,,
0.05,16,0.7232,0.3941,0.42172949,0.5706,0.484997875,0.7824,,,,,,,,,,,
0.18,5,0.3982,0.4568,0.460912052,0.5094,0.483944518,0.5958,,,,,,,,,,,
0.28,1,0.715,0.3942,0.420784666,0.562,0.481246789,0.7736,,,,,,,,,,,
0.08,28,0.8884,0.3635,0.405195166,0.5834,0.478235921,0.8564,,,,,,,,,,,
0.57,1,0.215,0.5089,0.510577609,0.4296,0.466601499,0.4118,,,,,,,,,,,
0.21,3,0.7911,0.3656,0.400059488,0.538,0.458887752,0.8068,,,,,,,,,,,
0.12,75,0.3754,0.4713,0.468797565,0.4312,0.44921346,0.4886,,,,,,,,,,,
0.01,40,0.4377,0.4462,0.446648155,0.4504,0.448516232,0.558,,,,,,,,,,,
0.02,85,0.3809,0.4649,0.462571977,0.4338,0.447724223,0.504,,,,,,,,,,,
