self_radius,self_count,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
0.1,37,1,0.5324,0.530156366,0.5696,0.549170845,0.5048,,,,,,,,,
0.02,19,1,0.4843,0.487797295,0.6276,0.548937287,0.659,,,,,,,,,
0.01,9,1,0.4857,0.48881939,0.6252,0.548661694,0.6538,,,,,,,,,
0.1,11,1,0.4916,0.493273543,0.616,0.547847741,0.6328,,,,,,,,,
0.04,14,1,0.4751,0.481093394,0.6336,0.546914113,0.6834,,,,,,,,,
0.08,7,1,0.4781,0.48319779,0.6298,0.546843796,0.6736,,,,,,,,,
0.05,9,1,0.479,0.483756188,0.6254,0.545533845,0.6674,,,,,,,,,
0.01,35,0.2417,0.5071,0.506079808,0.591,0.545253252,0.5768,,,,,,,,,
0.02,14,1,0.5041,0.503485802,0.5922,0.544251447,0.584,,,,,,,,,
0.03,17,1,0.5244,0.522467772,0.5674,0.54400767,0.5186,,,,,,,,,
0.08,8,1,0.4726,0.479077581,0.6274,0.543297541,0.6822,,,,,,,,,
0.02,13,1,0.4346,0.455180921,0.6642,0.540175667,0.795,,,,,,,,,
0.11,6,1,0.5013,0.501116263,0.5836,0.539222027,0.581,,,,,,,,,
0.04,32,1,0.5097,0.508613035,0.5728,0.538801618,0.5534,,,,,,,,,
0.05,12,1,0.4714,0.477863777,0.6174,0.538743455,0.6746,,,,,,,,,
0.09,14,1,0.5102,0.509097396,0.5708,0.538185932,0.5504,,,,,,,,,
0.13,11,1,0.5144,0.513062409,0.5656,0.53805175,0.5368,,,,,,,,,
0.04,6,1,0.4109,0.442330097,0.6834,0.537053045,0.8616,,,,,,,,,
0.01,47,1,0.5076,0.506744764,0.571,0.536956931,0.5558,,,,,,,,,
0.01,33,1,0.4838,0.486816406,0.5982,0.536791098,0.6306,,,,,,,,,
0.08,32,1,0.4894,0.491184298,0.5906,0.53632401,0.6118,,,,,,,,,
0.02,18,1,0.4756,0.48065948,0.6064,0.536257517,0.6552,,,,,,,,,
0.04,37,1,0.5104,0.509393064,0.564,0.535307517,0.5432,,,,,,,,,
0.04,25,1,0.4969,0.497338142,0.5792,0.535156611,0.5854,,,,,,,,,
0.04,33,1,0.52,0.518775817,0.5526,0.53515398,0.5126,,,,,,,,,
0.13,3,1,0.4007,0.437048307,0.6894,0.534957709,0.888,,,,,,,,,
0.03,23,1,0.4817,0.485100147,0.5958,0.534781438,0.6324,,,,,,,,,
0.04,12,0.2419,0.4807,0.484291063,0.595,0.533967513,0.6336,,,,,,,,,
0.04,7,1,0.3904,0.432111001,0.6976,0.533659731,0.9168,,,,,,,,,
0.05,13,1,0.4833,0.486255144,0.5908,0.533453725,0.6242,,,,,,,,,
0.03,31,0.9987,0.4553,0.466436402,0.6212,0.532807273,0.7106,,,,,,,,,
0.1,13,1,0.45,0.463039622,0.6264,0.532471948,0.7264,,,,,,,,,
0.03,9,1,0.5024,0.502132954,0.565,0.531714662,0.5602,,,,,,,,,
0.09,27,1,0.5095,0.508691674,0.556,0.531294792,0.537,,,,,,,,,
0.01,98,0.9976,0.5022,0.501957295,0.5642,0.53126177,0.5598,,,,,,,,,
0.25,5,1,0.5154,0.514424878,0.5492,0.531243954,0.5184,,,,,,,,,
0.06,10,0.2417,0.5092,0.508443465,0.554,0.530245023,0.5356,,,,,,,,,
0.06,32,1,0.5275,0.527243907,0.5322,0.529710361,0.4772,,,,,,,,,
0.07,29,1,0.457,0.467054857,0.6096,0.528891202,0.6956,,,,,,,,,
0.02,41,1,0.4327,0.452017681,0.634,0.527761592,0.7686,,,,,,,,,
0.04,28,0.2419,0.3977,0.43344177,0.6662,0.525187229,0.8708,,,,,,,,,
0.02,21,1,0.4191,0.443982828,0.6412,0.524670649,0.803,,,,,,,,,
0.04,11,1,0.4901,0.491344641,0.562,0.52430264,0.5818,,,,,,,,,
0.03,22,1,0.3878,0.428680397,0.6744,0.524172237,0.8988,,,,,,,,,
0.08,31,1,0.5012,0.501094891,0.5492,0.524045802,0.5468,,,,,,,,,
0.12,7,0.9985,0.4757,0.47979378,0.577,0.523926269,0.6256,,,,,,,,,
0.13,21,0.2419,0.4784,0.481682497,0.568,0.521292217,0.6112,,,,,,,,,
0.15,19,1,0.5145,0.514129799,0.5276,0.520777811,0.4986,,,,,,,,,
0.03,35,1,0.485,0.486920126,0.5584,0.520216136,0.5884,,,,,,,,,
0.27,4,0.2418,0.4412,0.455548836,0.6026,0.518856552,0.7202,,,,,,,,,
0.11,26,1,0.4245,0.445722502,0.62,0.51861146,0.771,,,,,,,,,
0.01,42,1,0.3861,0.426487673,0.6608,0.518396485,0.8886,,,,,,,,,
0.08,28,0.9985,0.5075,0.507201844,0.5282,0.517487998,0.5132,,,,,,,,,
0.08,29,1,0.4386,0.452798278,0.589,0.511995828,0.7118,,,,,,,,,
0.06,13,1,0.5139,0.514198161,0.5034,0.508741789,0.4756,,,,,,,,,
0.05,44,0.2417,0.4904,0.490912533,0.5186,0.50437658,0.5378,,,,,,,,,
0.06,21,1,0.4847,0.485703607,0.5198,0.502173703,0.5504,,,,,,,,,
0.03,38,0.2417,0.4979,0.497925311,0.504,0.50094424,0.5082,,,,,,,,,
0.07,23,1,0.4686,0.471984297,0.529,0.498868352,0.5918,,,,,,,,,
0.04,19,0.9997,0.499,0.498998397,0.4982,0.498598879,0.5002,,,,,,,,,
0.08,11,1,0.5174,0.51882302,0.4796,0.498441073,0.4448,,,,,,,,,
0.12,9,1,0.4944,0.494468589,0.5006,0.497515404,0.5118,,,,,,,,,
0.04,41,1,0.4844,0.485171103,0.5104,0.497465887,0.5416,,,,,,,,,
0.1,24,0.9985,0.4743,0.47646089,0.5202,0.497370686,0.5716,,,,,,,,,
0.15,25,0.2417,0.4688,0.471962617,0.5252,0.497160167,0.5876,,,,,,,,,
0.02,78,1,0.5074,0.507717981,0.4868,0.497039003,0.472,,,,,,,,,
0.02,17,0.2419,0.3934,0.424375709,0.5982,0.496513944,0.8114,,,,,,,,,
0.14,13,1,0.4845,0.485184477,0.5076,0.496139185,0.5386,,,,,,,,,
0.26,3,0.2417,0.3713,0.413309982,0.6136,0.493922563,0.871,,,,,,,,,
0.11,21,1,0.4676,0.470437956,0.5156,0.491984733,0.5804,,,,,,,,,
0.03,26,0.2422,0.4527,0.459033431,0.53,0.491970667,0.6246,,,,,,,,,
0.06,42,1,0.4498,0.456088174,0.5214,0.48656215,0.6218,,,,,,,,,
0.01,21,0.2419,0.35,0.401289813,0.6098,0.484045087,0.9098,,,,,,,,,
0.06,8,0.2419,0.4429,0.45045983,0.5192,0.482393385,0.6334,,,,,,,,,
0.03,15,0.2419,0.3646,0.406206705,0.5864,0.479947618,0.8572,,,,,,,,,
0.26,5,0.9974,0.3808,0.413573086,0.5704,0.479488904,0.8088,,,,,,,,,
0.01,23,0.2407,0.4355,0.441544318,0.4872,0.463249976,0.6162,,,,,,,,,
0.24,3,1,0.3431,0.390079865,0.5568,0.458762462,0.8706,,,,,,,,,
0.19,4,0.2419,0.3177,0.379701729,0.5754,0.457501789,0.94,,,,,,,,,
0.17,3,1,0.4435,0.444334975,0.451,0.44764268,0.564,,,,,,,,,
0.07,12,0.2419,0.4526,0.450230995,0.4288,0.439254251,0.5236,,,,,,,,,
0.03,53,0.2417,0.492,0.489974937,0.391,0.434927697,0.407,,,,,,,,,
0.19,3,0.2417,0.3427,0.380088428,0.4986,0.431352193,0.8132,,,,,,,,,
0.06,30,0.2417,0.3476,0.379162702,0.4782,0.42296126,0.783,,,,,,,,,
0.03,29,0.2414,0.3328,0.372599817,0.489,0.422937208,0.8234,,,,,,,,,
0.22,5,0.2418,0.3106,0.362872864,0.5012,0.42096422,0.88,,,,,,,,,
0.05,53,0.2417,0.4745,0.468680914,0.3816,0.420681292,0.4326,,,,,,,,,
