threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
1.67,0.8559177,0.7433,0.882908404,0.561,0.686070686,0.0744,,,,,,,,,
1.68,0.8559177,0.742,0.882669197,0.5582,0.683901005,0.0742,,,,,,,,,
1.69,0.8490566,0.7413,0.883137504,0.5562,0.682537735,0.0736,,,,,,,,,
1.7,0.8490566,0.7411,0.883306836,0.5556,0.68213628,0.0734,,,,,,,,,
1.71,0.8490566,0.741,0.88326972,0.5554,0.68197446,0.0734,,,,,,,,,
1.72,0.8439108,0.7403,0.883498244,0.5536,0.680683635,0.073,,,,,,,,,
1.73,0.8439108,0.7393,0.8831252,0.5516,0.679059461,0.073,,,,,,,,,
1.74,0.8439108,0.7392,0.883087764,0.5514,0.678896823,0.073,,,,,,,,,
1.75,0.84048027,0.739,0.883258499,0.5508,0.678492239,0.0728,,,,,,,,,
1.76,0.8370497,0.7386,0.883601286,0.5496,0.677681874,0.0724,,,,,,,,,
1.77,0.8353345,0.7385,0.88381075,0.5492,0.67743925,0.0722,,,,,,,,,
1.78,0.8353345,0.7385,0.88455337,0.5486,0.677200346,0.0716,,,,,,,,,
1.79,0.83190393,0.7382,0.884689922,0.5478,0.676630435,0.0714,,,,,,,,,
1.8,0.8284734,0.7372,0.884815055,0.5454,0.674832962,0.071,,,,,,,,,
1.81,0.8250429,0.7363,0.884477709,0.5436,0.67335563,0.071,,,,,,,,,
1.82,0.8250429,0.7353,0.884351519,0.5414,0.67162883,0.0708,,,,,,,,,
1.83,0.82161236,0.7344,0.884010485,0.5396,0.670144064,0.0708,,,,,,,,,
1.84,0.8181818,0.734,0.884362681,0.5384,0.669318747,0.0704,,,,,,,,,
1.85,0.8181818,0.7338,0.884539474,0.5378,0.668905473,0.0702,,,,,,,,,
1.86,0.81475127,0.7334,0.884894459,0.5366,0.668077689,0.0698,,,,,,,,,
1.87,0.8096055,0.7325,0.884806356,0.5346,0.666500436,0.0696,,,,,,,,,
1.88,0.80617493,0.7314,0.884385382,0.5324,0.664669164,0.0696,,,,,,,,,
1.89,0.79588336,0.7306,0.884333333,0.5306,0.66325,0.0694,,,,,,,,,
1.9,0.79588336,0.7299,0.884062813,0.5292,0.662079319,0.0694,,,,,,,,,
1.91,0.7890223,0.7292,0.884305835,0.5274,0.660736657,0.069,,,,,,,,,
1.92,0.780446,0.7283,0.884472886,0.5252,0.659053834,0.0686,,,,,,,,,
1.93,0.780446,0.7272,0.884043272,0.523,0.657200302,0.0686,,,,,,,,,
1.94,0.77701545,0.7262,0.884432359,0.5204,0.655250567,0.068,,,,,,,,,
1.95,0.77701545,0.724,0.883824537,0.5158,0.651427128,0.0678,,,,,,,,,
1.96,0.7684391,0.7235,0.883888698,0.5146,0.650486664,0.0676,,,,,,,,,
1.97,0.754717,0.7225,0.883488452,0.5126,0.648778636,0.0676,,,,,,,,,
1.98,0.7478559,0.7219,0.88377724,0.511,0.647573185,0.0672,,,,,,,,,
1.99,0.7478559,0.7209,0.883640153,0.5088,0.645767229,0.067,,,,,,,,,
2,0.74442536,0.7205,0.883745214,0.5078,0.644989204,0.0668,,,,,,,,,
2,0.74442536,0.7205,0.883745214,0.5078,0.644989204,0.0668,,,,,,,,,
2.01,0.74442536,0.7197,0.884225254,0.5056,0.643338847,0.0662,,,,,,,,,
2.02,0.7409949,0.7186,0.884588318,0.5028,0.641162969,0.0656,,,,,,,,,
2.03,0.7375643,0.718,0.884615385,0.5014,0.640030636,0.0654,,,,,,,,,
2.04,0.72727275,0.7172,0.885106383,0.4992,0.638363171,0.0648,,,,,,,,,
2.05,0.72041166,0.7162,0.885520685,0.4966,0.636340338,0.0642,,,,,,,,,
2.06,0.7118353,0.715,0.885304659,0.494,0.634146341,0.064,,,,,,,,,
