threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
threshold,unknown_detection_rate,accuracy,precision,recall,f1,false_positive_rate,,,,,,,,,
2.57,0.6042605,0.7446,0.812149056,0.6364,0.713612918,0.1472,,,,,,,,,
2.58,0.6037306,0.7446,0.813589744,0.6346,0.713033708,0.1454,,,,,,,,,
2.59,0.6023528,0.7449,0.815348957,0.6332,0.712822245,0.1434,,,,,,,,,
2.6,0.601505,0.7448,0.816115702,0.632,0.712353472,0.1424,,,,,,,,,
2.61,0.60129297,0.7447,0.816231584,0.6316,0.712143421,0.1422,,,,,,,,,
2.62,0.5994913,0.7443,0.816368816,0.6304,0.711432118,0.1418,,,,,,,,,
2.63,0.5982725,0.7437,0.816411322,0.6288,0.7104282,0.1414,,,,,,,,,
2.64,0.5966827,0.7428,0.816640584,0.6262,0.708852162,0.1406,,,,,,,,,
2.65,0.5959939,0.7421,0.816967793,0.624,0.707563216,0.1398,,,,,,,,,
2.66,0.5955699,0.7417,0.817441555,0.6224,0.706710571,0.139,,,,,,,,,
2.67,0.59408617,0.7409,0.817893903,0.6198,0.705199681,0.138,,,,,,,,,
2.68,0.59254944,0.7402,0.817724868,0.6182,0.704100228,0.1378,,,,,,,,,
2.69,0.5915426,0.7395,0.817723534,0.6164,0.702930779,0.1374,,,,,,,,,
2.7,0.5913836,0.7395,0.818230136,0.6158,0.702727376,0.1368,,,,,,,,,
2.71,0.5912246,0.7387,0.818181818,0.6138,0.701405554,0.1364,,,,,,,,,
2.72,0.5908537,0.7387,0.818521484,0.6134,0.701269007,0.136,,,,,,,,,
2.73,0.5896349,0.7378,0.818425281,0.6112,0.699793909,0.1356,,,,,,,,,
2.74,0.588787,0.7372,0.818303811,0.6098,0.69883108,0.1354,,,,,,,,,
2.75,0.5856075,0.7371,0.818426001,0.6094,0.698612863,0.1352,,,,,,,,,
2.76,0.5833819,0.7358,0.817789757,0.6068,0.696670494,0.1352,,,,,,,,,
2.77,0.58242804,0.7351,0.817960509,0.6048,0.695412211,0.1346,,,,,,,,,
2.78,0.58142126,0.7343,0.817737998,0.603,0.69414067,0.1344,,,,,,,,,
2.79,0.5791426,0.7336,0.81773667,0.6012,0.692946058,0.134,,,,,,,,,
2.8,0.5786127,0.7334,0.817810458,0.6006,0.692573801,0.1338,,,,,,,,,
2.81,0.57697,0.7333,0.818454818,0.5996,0.692138982,0.133,,,,,,,,,
2.82,0.57474434,0.7329,0.818779086,0.5982,0.691320929,0.1324,,,,,,,,,
2.84,0.5724657,0.7328,0.81995602,0.5966,0.690669136,0.131,,,,,,,,,
2.83,0.5735255,0.7326,0.819154775,0.597,0.690652476,0.1318,,,,,,,,,
